"ISO3","Year","Disaster_Frequency","Export_Domestics_Agriculture","Export_Foreign_Agriculture","Output_Domestic_Agriculture","Output_Foreign_Agriculture","Export_Domestics_Construction","Export_Foreign_Construction","Output_Domestic_Construction","Output_Foreign_Construction","Export_Domestics_Education","Export_Foreign_Education","Output_Domestic_Education","Output_Foreign_Education","Export_Domestics_Electronic","Export_Foreign_Electronic","Output_Domestic_Electronic","Output_Foreign_Electronic","Export_Domestics_Energy","Export_Foreign_Energy","Output_Domestic_Energy","Output_Foreign_Energy","Export_Domestics_Food","Export_Foreign_Food","Output_Domestic_Food","Output_Foreign_Food","Export_Domestics_HumanActivities","Export_Foreign_HumanActivities","Output_Domestic_HumanActivities","Output_Foreign_HumanActivities","Export_Domestics_Machinery","Export_Foreign_Machinery","Output_Domestic_Machinery","Output_Foreign_Machinery","Export_Domestics_Manufacturing","Export_Foreign_Manufacturing","Output_Domestic_Manufacturing","Output_Foreign_Manufacturing","Export_Domestics_Mining","Export_Foreign_Mining","Output_Domestic_Mining","Output_Foreign_Mining","Export_Domestics_Pharma","Export_Foreign_Pharma","Output_Domestic_Pharma","Output_Foreign_Pharma","Export_Domestics_RawMaterial","Export_Foreign_RawMaterial","Output_Domestic_RawMaterial","Output_Foreign_RawMaterial","Export_Domestics_Recreation","Export_Foreign_Recreation","Output_Domestic_Recreation","Output_Foreign_Recreation","Export_Domestics_Transportation","Export_Foreign_Transportation","Output_Domestic_Transportation","Output_Foreign_Transportation"
"LTU","2005",2,89.2703032120855,1.93284000205734,912.34212982765,5.92838820888009,10.4328822703298,2.12154580599107,1370.33662905019,124.969847123275,6.99352866688631,0.240116899492059,643.623299159436,1.92359918354223,55.3290040706616,49.1117378781993,92.3616691104402,85.71407051853,989.289131709262,7.11273102878292,4651.52836650632,45.5174369608228,187.860164982485,79.3610613228148,936.661020886191,218.133306548137,48.7385374102351,11.1419311023432,1598.88579969643,135.503613481431,113.55073251178,42.9617814677828,222.617403292091,53.9892929293143,92.505625796309,58.2119680506731,243.526651962841,84.7070518743108,2.22712466438198,1.02551181849378,24.4566074487356,2.23537201862266,87.8695133473053,35.7119926580804,205.423018372465,82.9949373759529,48.8899593001716,27.1303537790352,271.431396832692,69.5962595918653,15.9674674599246,1.42395568105097,228.58474753759,4.92318032600216,1270.70363862009,106.504019972468,3305.73961588108,298.036186170204
"LTU","2006",1,149.682820449134,1.83273230708601,1060.47623041033,12.9919112219036,15.2853477400895,1.45650139649384,2325.70875597992,218.920534795066,7.13141950628347,0.016186959921762,715.707806293208,1.65308686559997,43.3134362251267,52.6968157111151,114.243204111785,127.387164865699,897.959141843097,9.42463244495222,4032.71384712587,90.3028839411103,299.219565095185,145.133995047221,1416.24428108455,384.3715950142,66.7096677061461,13.0804918442474,2108.23233146009,161.85329101354,185.858354671935,96.3895040508483,358.73924591799,130.083224541272,130.49315748779,84.7804290335991,330.687285642859,150.713824698519,2.20847344388991,0.941229442983143,23.5042868741181,1.81687752182744,90.0507132184999,90.27894940469,280.100235908177,257.82612506249,69.7608210618241,38.9555998021068,347.238013594555,113.162474222898,20.730301781423,0.942978688385484,314.000232062525,14.2887658367019,1557.38875253885,244.675494756314,4001.57501621693,622.246410623619
"LTU","2007",0,170.958968244705,1.70098718508124,921.387730390717,9.165975892247,12.2648339727551,0.922171887459385,2069.53504289503,153.74878927552,6.62431496862122,0.0157876847849446,615.417337398941,1.48648075998249,29.5875699466268,23.0096404038938,69.5116338154786,61.4917037549653,501.165532767576,6.16114894662515,3483.90960446548,86.0419433155553,233.435893479076,63.8762689509047,1020.31598007576,138.287299028407,45.6960065038389,8.16534583479618,1607.04791329133,138.573308496915,144.54820774836,57.7931252241656,288.518146088105,86.0969153599621,86.6468325489912,48.1134342222725,253.185404465891,84.9599803362224,2.28957074794039,0.839951044375162,26.0787013050306,1.66363271184114,155.390902517102,55.2110009278668,506.794797328313,168.264916824362,73.2245725688271,27.622557666232,331.013815766825,78.7214284840543,15.4801558040445,0.720804774611226,243.746359224183,11.3505062129067,1628.98946766612,176.543671482686,4169.27006211884,470.828893781139
"LTU","2008",0,227.888598796543,2.32024148507433,1079.00686926212,10.9839037663778,15.729481700794,0.959848349677518,2118.37719504881,127.691370132575,3.06553539059821,0.00581286075121184,344.405279602786,0.661601980755255,54.7324118976635,22.5375538861341,103.150435577803,63.1710656159034,1059.80714575605,13.018291366151,4925.65640519714,139.408293845119,210.504083449754,107.75031405457,1076.80607050046,263.201301996468,36.3907715204724,11.8707199522295,1654.17581718415,199.064877060317,167.844656633341,53.7296012239316,398.004657256123,87.9027123511,79.2214506469167,52.6076030565148,264.746325460343,110.715395395742,2.57264131063752,1.25463502647851,20.2360214019813,2.03456499714488,172.56571336609,56.3266704659923,527.925391780407,159.261871397446,54.5782643243952,24.1885178037724,302.217274326196,75.5423146890524,24.6805731951462,1.04615231443472,298.684686986463,12.6558165226314,1913.60751380057,207.987825223082,4756.10864923489,588.844238458292
"LTU","2009",0,169.995457134545,1.78667101453095,903.122485369254,9.49363083811464,6.3527838505741,0.501229424317841,1088.16298057394,84.8953421228437,2.27153416529893,0.00356276590080764,316.393472594469,0.505076853101284,31.507048360329,14.9825465725428,47.1390587016476,47.7142786093962,1025.61851561336,9.66820420357052,5533.8613157364,124.666373280407,181.853681394244,86.6586125301535,927.251722864341,222.900541018653,32.2708896840542,9.27905587403641,1440.51788143224,120.076676515343,138.295897870736,59.3374982204135,313.195586978303,69.2919538749856,57.9763894552409,44.0651111367095,213.928222204672,99.4798002657484,1.75269664211663,1.43800501328866,18.3123599961578,2.71381405207943,165.55956545448,45.6292427138236,522.703165426243,134.536858164416,38.396525496346,22.1014223356472,235.73899146217,62.7169974453963,22.6534625454754,0.959916760871448,279.800015004707,11.8577024355247,1654.31325308913,147.487983906931,4126.35425775804,425.326657034045
"LTU","2010",2,287.804892060086,2.59251542879671,1078.99012079033,9.71828348251188,9.08545765430245,1.23688609455097,918.701819284369,123.091944841942,4.59506778936707,0.00489505168892725,391.640958658508,0.426175641920182,80.7610055941165,25.848166046844,158.060489501332,66.422413562804,1309.84179801302,10.4178232857755,6746.61038901126,135.124925399496,207.328883829025,109.745163677128,910.38494726943,245.993556714623,43.8484001832446,11.6627008024292,1928.51305441453,175.011410103807,263.693015099098,100.069671723094,410.344730573231,110.648194530129,79.5024345975174,60.8446501576363,182.91737317822,92.614416428936,2.01942945469709,1.82901188449928,17.8445803554095,3.06594965972676,134.784323681647,38.7850660376699,283.139072619016,78.4732449576499,56.529732686464,40.7208831183607,209.997805732421,69.7342631938497,23.9411304186929,0.757012704114629,311.301536489432,9.83959692290825,1497.8873393078,184.186671865853,3657.16421090504,488.679464562412
"LTU","2011",0,286.667802751354,2.23368594984483,1171.34780641093,9.12722973255066,9.76861490309829,1.97781441069021,999.951827861592,150.957726949679,4.48915754252297,0.00522977954949857,334.279147838424,0.396167134432739,57.9921145452094,34.1533472499453,87.5418094703115,94.4583947171377,1580.64908763447,15.2711606935054,6169.50455869594,184.736938313956,245.211764124015,112.679850245036,959.243413059925,253.259502607229,43.2564169681978,10.2791677115706,1258.30559038569,153.142674043037,333.791644773534,130.538882306059,506.993894580198,145.889243002039,74.3640434199146,63.0903411764547,195.937308321104,93.0601778722544,0.789269656888701,1.84473573033598,15.0289424267658,4.11575341972564,178.941046538444,49.8612019437712,354.711939419695,95.0000686251032,63.0990579161087,42.2418398635747,250.862606765389,80.9184234290716,20.8140275792285,0.732825272063563,229.778126043211,8.08946947694432,1583.3124540218,122.833633514241,3588.64013457303,520.971434087484
"LTU","2012",2,399.09090007549,1.39362020874982,1049.02251837017,3.66382239656451,11.4588025224723,1.35749115339567,860.617571817851,118.472373511229,5.314473026395,0.00612492113353658,331.318735889037,0.385691053058363,51.3075957746414,40.452605438359,96.817262126812,61.0723316970113,1635.00058657892,12.3934663412516,5767.40652572986,169.794259401668,251.322602893224,129.936030166536,907.443332645524,245.129429716217,46.2601912151651,10.9599893244375,1206.1919867442,124.408234406776,348.425887198463,113.879637279523,538.947382327799,121.741689725202,84.6445960767038,66.8493655825532,185.753505334699,90.0538383286591,0.820068127570778,1.71837588704953,13.3222947593308,4.52423037663114,172.364235421759,61.9851506179306,297.172608312017,95.6733581582627,50.2578932663956,40.1770452982773,178.671283852343,61.7750302921219,17.4564301167963,0.630802770305823,213.007372975086,7.69814523468765,1621.37174845567,234.027392833417,3636.10601050991,533.269831388913
"LTU","2013",0,487.975058389264,2.12571129642811,1111.48097511851,4.84293886292784,9.76806083293351,1.59415980030626,985.426537926862,178.15162225188,6.25249424652542,0.00726395021777106,368.29015102143,0.433192792228015,59.9484994157913,34.6123005742502,115.7782973253,65.7027157519433,1900.97015687634,14.2627211799674,6243.64007698691,162.190182608409,286.518551775984,144.118184185657,997.135016235775,235.353965800024,50.3625601594117,10.5052997061596,1412.85267156732,115.177918315213,372.952007885347,122.82427764469,601.436152110022,129.478131388139,86.6151019897927,70.6349065432037,177.296078338413,94.2084936927425,0.944072248621796,1.99954893126925,13.0882047845973,5.43033396327496,192.062685601482,60.1233429137505,299.581446947058,90.2349935840354,67.8757978885001,49.1553448067217,217.456173422277,76.0668312644258,14.1810364002319,0.534639247062224,195.763537835415,7.3842502764666,1884.06826313873,323.622786873467,4045.54229666453,547.043292401478
"LTU","2014",0,404.129502115582,6.09335447379384,1132.10942038898,17.0669363937321,8.24404562016236,1.20718198585584,934.12420344215,162.455751910334,5.05203900017468,0.00481112673106675,289.164356300635,0.278728432787174,49.6875143209865,30.455273519067,95.4542158442359,62.9143214744544,1510.9910190245,19.1086869697209,5720.88325648044,199.617619798823,309.195538550514,129.94647948105,1036.99423019681,226.474857121016,47.8579223703036,13.4489809167617,1150.68498153189,175.37172955423,368.282444084169,137.779879576491,572.400046384463,140.09099561649,79.8881518141172,67.355043494404,174.478638091009,93.8147250444067,0.820764160434882,1.5496346131268,14.4432031457977,4.24155858342541,157.7908229226,43.0719830146187,265.602256285852,79.6631275737318,59.4982638255735,52.9017827814928,211.440181535116,89.100476105079,12.7672112895975,0.413449731161046,204.693446703326,6.63025790911005,1772.98801027266,386.455853725362,3793.09704335495,504.571125810949
"LTU","2015",0,316.825202366261,4.77693319436509,963.44776293833,14.5283520764581,8.38674080902395,1.15405024028495,1031.82324536037,186.102670271999,5.30744898527878,0.00468569465385065,294.795665672081,0.264276963647721,47.7691321774997,29.5937496679421,92.7307243873131,60.0326858810701,1514.27212702675,13.484610883762,5585.02512143718,58.9082979734317,294.888726009848,144.032059431748,910.792352868585,229.361328975631,50.0305542067729,15.6511576406525,1514.72927900853,135.934827711626,349.787692531199,98.699711317018,586.458754046918,118.526905371419,78.5119780585328,59.4486353385476,172.906590548203,92.7483800749943,1.16077894907863,1.3797064932253,13.0147852379662,4.1791725316919,153.438969132907,78.4789964944006,252.140701844139,116.692261809102,51.5927559951222,40.6655006779793,207.555999802078,87.207535553161,13.5596143824827,0.424615514327021,229.647947057745,7.19075289895651,1905.70020228148,266.243991158044,3830.88209682911,531.849641011101
