"ISO3","Year","Sector_abb","Disaster_Frequency","Category","Value"
"ARG","2006","RawMaterial",1,"Export_Domestics",160.508429584785
"ARG","2006","RawMaterial",1,"Export_Foreign",40.0112733155462
"ARG","2006","RawMaterial",1,"Output_Domestic",1956.57679533052
"ARG","2006","RawMaterial",1,"Output_Foreign",220.120858904518
"ARG","2006","Recreation",1,"Export_Domestics",45.1554008206964
"ARG","2006","Recreation",1,"Export_Foreign",0.894493444643402
"ARG","2006","Recreation",1,"Output_Domestic",2876.85653376906
"ARG","2006","Recreation",1,"Output_Foreign",56.9914156251258
"ARG","2006","Transportation",1,"Export_Domestics",1829.58166262868
"ARG","2006","Transportation",1,"Export_Foreign",1690.76437510629
"ARG","2006","Transportation",1,"Output_Domestic",17136.895899317
"ARG","2006","Transportation",1,"Output_Foreign",3922.92037749267
"ARG","2007","Agriculture",3,"Export_Domestics",2341.13781758904
"ARG","2007","Agriculture",3,"Export_Foreign",4.08706825615427
"ARG","2007","Agriculture",3,"Output_Domestic",7493.88279495345
"ARG","2007","Agriculture",3,"Output_Foreign",13.082291819734
"ARG","2007","Construction",3,"Export_Domestics",0
"ARG","2007","Construction",3,"Export_Foreign",0
"ARG","2007","Construction",3,"Output_Domestic",7471.33903620571
"ARG","2007","Construction",3,"Output_Foreign",699.106509070693
"ARG","2007","Education",3,"Export_Domestics",4.69567066018483
"ARG","2007","Education",3,"Export_Foreign",0.00779969523606947
"ARG","2007","Education",3,"Output_Domestic",2852.13051811081
"ARG","2007","Education",3,"Output_Foreign",4.73739064497321
"ARG","2007","Electronic",3,"Export_Domestics",108.639735881182
"ARG","2007","Electronic",3,"Export_Foreign",77.6808403373387
"ARG","2007","Electronic",3,"Output_Domestic",1403.62755329352
"ARG","2007","Electronic",3,"Output_Foreign",782.647392866716
"ARG","2007","Energy",3,"Export_Domestics",517.858692163654
"ARG","2007","Energy",3,"Export_Foreign",212.52761440566
"ARG","2007","Energy",3,"Output_Domestic",12987.3822412673
"ARG","2007","Energy",3,"Output_Foreign",5574.04133308674
"ARG","2007","Food",3,"Export_Domestics",3601.1647350467
"ARG","2007","Food",3,"Export_Foreign",477.18168909182
"ARG","2007","Food",3,"Output_Domestic",18568.3800980411
"ARG","2007","Food",3,"Output_Foreign",1407.1129986091
"ARG","2007","HumanActivities",3,"Export_Domestics",156.204137136065
"ARG","2007","HumanActivities",3,"Export_Foreign",113.49578240457
"ARG","2007","HumanActivities",3,"Output_Domestic",10779.4684485019
"ARG","2007","HumanActivities",3,"Output_Foreign",987.065912948715
"ARG","2007","Machinery",3,"Export_Domestics",108.602643098437
"ARG","2007","Machinery",3,"Export_Foreign",142.622944860457
"ARG","2007","Machinery",3,"Output_Domestic",1986.73821059107
"ARG","2007","Machinery",3,"Output_Foreign",1045.9664935847
"ARG","2007","Manufacturing",3,"Export_Domestics",446.773180953801
"ARG","2007","Manufacturing",3,"Export_Foreign",48.1009130356286
"ARG","2007","Manufacturing",3,"Output_Domestic",6352.69417184338
"ARG","2007","Manufacturing",3,"Output_Foreign",338.943417576953
"ARG","2007","Mining",3,"Export_Domestics",6.23791755878935
"ARG","2007","Mining",3,"Export_Foreign",12.0060277588712
"ARG","2007","Mining",3,"Output_Domestic",1624.92457910741
"ARG","2007","Mining",3,"Output_Foreign",334.781536104665
"ARG","2007","Pharma",3,"Export_Domestics",126.714502163979
"ARG","2007","Pharma",3,"Export_Foreign",322.54841632143
"ARG","2007","Pharma",3,"Output_Domestic",988.032575576571
"ARG","2007","Pharma",3,"Output_Foreign",1907.06429217414
"ARG","2007","RawMaterial",3,"Export_Domestics",154.307424059737
"ARG","2007","RawMaterial",3,"Export_Foreign",38.3159477446967
"ARG","2007","RawMaterial",3,"Output_Domestic",2052.70779809773
"ARG","2007","RawMaterial",3,"Output_Foreign",228.482635912384
"ARG","2007","Recreation",3,"Export_Domestics",46.5017626794176
"ARG","2007","Recreation",3,"Export_Foreign",0.927540148426139
"ARG","2007","Recreation",3,"Output_Domestic",2961.37292026947
"ARG","2007","Recreation",3,"Output_Foreign",59.073805845815
"ARG","2007","Transportation",3,"Export_Domestics",1941.93809806662
"ARG","2007","Transportation",3,"Export_Foreign",1806.3827837339
"ARG","2007","Transportation",3,"Output_Domestic",18156.6096456388
"ARG","2007","Transportation",3,"Output_Foreign",4027.83118352823
"ARG","2008","Agriculture",1,"Export_Domestics",2570.0549988343
"ARG","2008","Agriculture",1,"Export_Foreign",4.11146960387077
"ARG","2008","Agriculture",1,"Output_Domestic",7755.13579653937
"ARG","2008","Agriculture",1,"Output_Foreign",12.4074645484173
"ARG","2008","Construction",1,"Export_Domestics",0
"ARG","2008","Construction",1,"Export_Foreign",0
"ARG","2008","Construction",1,"Output_Domestic",8187.85127439082
"ARG","2008","Construction",1,"Output_Foreign",579.611834760253
"ARG","2008","Education",1,"Export_Domestics",4.47234130101829
"ARG","2008","Education",1,"Export_Foreign",0.00723287693946964
"ARG","2008","Education",1,"Output_Domestic",3024.36027172071
"ARG","2008","Education",1,"Output_Foreign",4.89387438350664
"ARG","2008","Electronic",1,"Export_Domestics",108.56050060871
"ARG","2008","Electronic",1,"Export_Foreign",74.4414161902088
"ARG","2008","Electronic",1,"Output_Domestic",1511.44525969512
"ARG","2008","Electronic",1,"Output_Foreign",842.394981354832
"ARG","2008","Energy",1,"Export_Domestics",511.48871424519
"ARG","2008","Energy",1,"Export_Foreign",280.05022638868
"ARG","2008","Energy",1,"Output_Domestic",15450.8783989261
"ARG","2008","Energy",1,"Output_Foreign",6495.93985448707
"ARG","2008","Food",1,"Export_Domestics",3535.41682389088
"ARG","2008","Food",1,"Export_Foreign",523.642960362776
"ARG","2008","Food",1,"Output_Domestic",18897.1787154604
"ARG","2008","Food",1,"Output_Foreign",1590.72650981577
"ARG","2008","HumanActivities",1,"Export_Domestics",160.001502361882
"ARG","2008","HumanActivities",1,"Export_Foreign",124.560747134365
"ARG","2008","HumanActivities",1,"Output_Domestic",11139.7878680854
"ARG","2008","HumanActivities",1,"Output_Foreign",1099.02454868757
"ARG","2008","Machinery",1,"Export_Domestics",120.064053147736
"ARG","2008","Machinery",1,"Export_Foreign",148.308930998501
"ARG","2008","Machinery",1,"Output_Domestic",2055.08553024948
"ARG","2008","Machinery",1,"Output_Foreign",1038.00707767455
"ARG","2008","Manufacturing",1,"Export_Domestics",380.068390502827
"ARG","2008","Manufacturing",1,"Export_Foreign",45.9163569027909
"ARG","2008","Manufacturing",1,"Output_Domestic",6460.23746281793
"ARG","2008","Manufacturing",1,"Output_Foreign",353.230591233691
"ARG","2008","Mining",1,"Export_Domestics",5.9648367532075
"ARG","2008","Mining",1,"Export_Foreign",10.5951925714804
"ARG","2008","Mining",1,"Output_Domestic",1692.75480886835
"ARG","2008","Mining",1,"Output_Foreign",339.159865200191
"ARG","2008","Pharma",1,"Export_Domestics",171.180548800581
"ARG","2008","Pharma",1,"Export_Foreign",470.463821624759
"ARG","2008","Pharma",1,"Output_Domestic",1069.75684257777
"ARG","2008","Pharma",1,"Output_Foreign",2240.64720238981
"ARG","2008","RawMaterial",1,"Export_Domestics",160.397361560583
"ARG","2008","RawMaterial",1,"Export_Foreign",38.9387905024323
"ARG","2008","RawMaterial",1,"Output_Domestic",2117.16001235106
"ARG","2008","RawMaterial",1,"Output_Foreign",233.328481490051
"ARG","2008","Recreation",1,"Export_Domestics",51.9144789356913
"ARG","2008","Recreation",1,"Export_Foreign",0.998768630742858
"ARG","2008","Recreation",1,"Output_Domestic",3041.72905320797
"ARG","2008","Recreation",1,"Output_Foreign",58.5282892291896
"ARG","2008","Transportation",1,"Export_Domestics",1786.23958049676
"ARG","2008","Transportation",1,"Export_Foreign",1740.36098931116
"ARG","2008","Transportation",1,"Output_Domestic",19058.2624416115
"ARG","2008","Transportation",1,"Output_Foreign",4225.87679602041
"ARG","2009","Agriculture",5,"Export_Domestics",1433.65559426076
"ARG","2009","Agriculture",5,"Export_Foreign",2.12064073186111
"ARG","2009","Agriculture",5,"Output_Domestic",6557.84014972989
"ARG","2009","Agriculture",5,"Output_Foreign",9.70083958300842
"ARG","2009","Construction",5,"Export_Domestics",0
"ARG","2009","Construction",5,"Export_Foreign",0
"ARG","2009","Construction",5,"Output_Domestic",6849.02360443769
"ARG","2009","Construction",5,"Output_Foreign",482.135283270321
"ARG","2009","Education",5,"Export_Domestics",3.77965244864515
"ARG","2009","Education",5,"Export_Foreign",0.00566456270382217
"ARG","2009","Education",5,"Output_Domestic",2776.745903447
"ARG","2009","Education",5,"Output_Foreign",4.16274622568127
"ARG","2009","Electronic",5,"Export_Domestics",66.1103985898086
"ARG","2009","Electronic",5,"Export_Foreign",82.9189131408055
"ARG","2009","Electronic",5,"Output_Domestic",834.04309411474
"ARG","2009","Electronic",5,"Output_Foreign",1213.36182840314
"ARG","2009","Energy",5,"Export_Domestics",478.084947204478
"ARG","2009","Energy",5,"Export_Foreign",251.502779042857
"ARG","2009","Energy",5,"Output_Domestic",15764.2933266653
"ARG","2009","Energy",5,"Output_Foreign",6047.41565835052
"ARG","2009","Food",5,"Export_Domestics",3232.55798533089
"ARG","2009","Food",5,"Export_Foreign",464.065861565067
"ARG","2009","Food",5,"Output_Domestic",17325.0380928131
"ARG","2009","Food",5,"Output_Foreign",1417.58964680853
"ARG","2009","HumanActivities",5,"Export_Domestics",149.344829262125
"ARG","2009","HumanActivities",5,"Export_Foreign",113.124773506268
"ARG","2009","HumanActivities",5,"Output_Domestic",9976.93873844921
"ARG","2009","HumanActivities",5,"Output_Foreign",1038.37330936968
"ARG","2009","Machinery",5,"Export_Domestics",93.0811002606921
"ARG","2009","Machinery",5,"Export_Foreign",116.955969298412
"ARG","2009","Machinery",5,"Output_Domestic",1682.71903143403
"ARG","2009","Machinery",5,"Output_Foreign",878.663607192137
"ARG","2009","Manufacturing",5,"Export_Domestics",284.479378901912
"ARG","2009","Manufacturing",5,"Export_Foreign",34.9867779314693
"ARG","2009","Manufacturing",5,"Output_Domestic",5785.3063445509
"ARG","2009","Manufacturing",5,"Output_Foreign",286.777249033968
"ARG","2009","Mining",5,"Export_Domestics",3.39018094902309
"ARG","2009","Mining",5,"Export_Foreign",7.94147132477946
